Respondent_ID,Full_Name,Age,Gender,City,Email_Address,Satisfaction_Rating,Purchase_Frequency,Join_Date,Last_Purchase_Date,Account_Status,Remarks,Membership_Length_Days,Is_Active,Custom
1445,Ana Marie,25,Others,Manila,user39@yahoo.com,4,Monthly,2/2/2024,4/10/2024,Active,,68,1,"""18–25"""
1176,Lizza,22,M,Others,user40 @gmail.com,4,One-time,1/1/2024,1/2/2024,Unknown,satisfied ,1,0,"""51+"""
1135,Maria,21,F,Manila,user41@gmail.com,1,Monthly,1/20/2024,5/17/2024,Unknown,very good,118,0,"""51+"""
1361,Lizza,25,F,Cagayan de Oro,user42 @gmail.com,5,One Time,2/14/2024,4/27/2024,Active,good,73,1,"""18–25"""
1099,Anna Marie,21,M,Cebu,user43 @gmail.com,1,Monthly,1/1/2024,4/10/2024,Unknown,very good,100,0,"""51+"""
1380,Marc Anthony,25,F,Cebu,user44@yahoo.com,5,Monthly,6/13/2024,8/3/2024,Active,satisfied ,51,1,"""18–25"""
1348,Jhon Doe,18,M,Cagayan de Oro,user45@gmail.com,4,Weekly,2/5/2024,6/2/2024,Deactivated,bad   ,118,0,"""51+"""
1180,Lizza,25,M,Davao,user46 @outlook.com,5,One-time,5/17/2024,3/16/2024,Deactivated,bad   ,-62,0,"""18–25"""
1358,Marc Anthony,24,M,Manila,user47@gmail.com,1,Weekly,1/26/2024,4/1/2024,Active,,66,1,"""51+"""
1353,Peter,19,M,Manila,user48 @yahoo.com,3,Weekly,4/1/2024,5/2/2024,Active,bad   ,31,1,"""51+"""
1213,Jhon Doe,24,M,Manila,user49@yahoo.com,1,Monthly,1/1/2024,3/2/2024,Inactive,very good,61,0,"""51+"""
1118,Maria,35,M,Others,user50@outlook.com,5,One Time,4/1/2024,6/6/2024,Deactivated,,66,0,"""18–25"""
1350,Anna Marie,19,F,Others,user51@yahoo.com,3,Weekly,4/19/2024,4/2/2024,Inactive,,-17,0,"""51+"""
1411,Maria,18,F,Manila,user52@yahoo.com,1,One-time,1/1/2024,5/4/2024,Active,satisfied ,124,1,"""51+"""
1290,Peter,35,F,Cagayan de Oro,user53 @gmail.com,1,Monthly,1/5/2024,1/1/2024,Active,very good,-4,1,"""18–25"""
1481,Marc Anthony,23,F,Cebu,user54@yahoo.com,4,Weekly,7/6/2024,8/1/2024,Inactive,bad   ,26,0,"""51+"""
1076,John Doe,21,Others,Manila,user55@outlook.com,2,One-time,1/27/2024,1/1/2024,Active,bad   ,-26,1,"""51+"""
1168,Peter,20,Others,Cebu,user56@outlook.com,1,One Time,2/14/2024,1/11/2024,Inactive,,-34,0,"""51+"""
1387,Ana Marie,22,F,Cebu,user57@outlook.com,2,Monthly,12/6/2024,1/6/2024,Active,bad   ,-335,1,"""51+"""
1106,Ana Marie,21,M,Manila,user58 @outlook.com,5,One-Time,4/4/2024,2/26/2024,Inactive,ok,-38,0,"""51+"""
1325,Ana Marie,21,F,Cebu,user59@yahoo.com,5,Weekly,1/1/2024,3/14/2024,Active,bad   ,73,1,"""51+"""
1064,Jhon Doe,22,Others,Cagayan de Oro,user60 @yahoo.com,3,Monthly,6/1/2024,3/7/2024,Active,ok,-86,1,"""51+"""
1331,Lizza,25,M,Manila,user61@yahoo.com,3,Monthly,5/17/2024,4/28/2024,Active,satisfied ,-19,1,"""18–25"""
1418,Liza,19,F,Manila,user62@outlook.com,5,Monthly,1/1/2024,4/20/2024,Inactive,satisfied ,110,0,"""51+"""
1314,Ana Marie,19,Others,Cagayan de Oro,user63@gmail.com,5,Monthly,3/26/2024,7/1/2024,Active,satisfied ,97,1,"""51+"""
1394,Jhon Doe,18,M,Manila,user64@outlook.com,4,Monthly,2/12/2024,9/1/2024,Active,satisfied ,202,1,"""51+"""
1278,Lizza,19,F,Cebu,user65@gmail.com,5,Weekly,3/3/2024,2/8/2024,Deactivated,ok,-24,0,"""51+"""
1205,Anna Marie,22,F,Manila,user66 @gmail.com,5,Weekly,1/1/2024,1/1/2024,Active,bad   ,0,1,"""51+"""
1146,Liza,25,Others,Manila,user67@yahoo.com,1,Monthly,5/6/2024,1/4/2024,Unknown,good,-123,0,"""18–25"""
1484,Marc Anthony,20,F,Cagayan de Oro,user68@yahoo.com,5,Weekly,1/1/2024,1/6/2024,Deactivated,good,5,0,"""51+"""
1271,Peter,35,F,Manila,user69 @gmail.com,5,Monthly,4/1/2024,1/10/2024,Active,good,-82,1,"""18–25"""
1491,Peter,35,Others,Cagayan de Oro,user70 @yahoo.com,4,Monthly,5/2/2024,2/3/2024,Active,satisfied ,-89,1,"""18–25"""
1411,Peter,35,F,Cagayan de Oro,user71@yahoo.com,1,One Time,5/5/2024,2/18/2024,Active,bad   ,-77,1,"""18–25"""
1253,Mark Anthony,22,Others,Manila,user72@gmail.com,3,Monthly,2/10/2024,1/3/2024,Unknown,,-38,0,"""51+"""
1492,Maria,19,F,Davao,user73@outlook.com,5,One-time,1/19/2024,2/10/2024,Inactive,,22,0,"""51+"""
1158,Lizza,21,Others,Davao,user74 @yahoo.com,1,Weekly,3/28/2024,6/28/2024,Active,ok,92,1,"""51+"""
1180,Peter,22,F,Cagayan de Oro,user75 @outlook.com,4,Monthly,5/4/2024,5/6/2024,Active,good,2,1,"""51+"""
1070,Marc Anthony,22,M,Davao,user76 @outlook.com,5,Weekly,1/1/2024,4/7/2024,Active,bad   ,97,1,"""51+"""
1365,Peter,24,Others,Cebu,user77@outlook.com,1,One-time,6/2/2024,3/23/2024,Deactivated,satisfied ,-71,0,"""51+"""
1371,Anna Marie,20,M,Manila,user78 @outlook.com,2,Monthly,1/1/2024,6/22/2024,Active,good,173,1,"""51+"""
1154,Mark Anthony,25,Others,Davao,user79@gmail.com,2,One-Time,3/13/2024,6/27/2024,Active,,106,1,"""18–25"""
1208,Ana Marie,25,Others,Manila,user80@yahoo.com,1,Monthly,2/20/2024,3/18/2024,Active,good,27,1,"""18–25"""
1390,Ana Marie,25,M,Manila,user81@gmail.com,5,One-Time,6/3/2024,1/28/2024,Active,bad   ,-127,1,"""18–25"""
1270,Jhon Doe,22,Others,Cagayan de Oro,user82 @outlook.com,5,Monthly,1/28/2024,9/5/2024,Active,,221,1,"""51+"""
1255,Lizza,35,M,Cebu,user83 @gmail.com,1,One-time,6/23/2024,6/24/2024,Inactive,ok,1,0,"""18–25"""
1244,Peter,25,Others,Davao,user84 @gmail.com,4,Monthly,8/3/2024,5/3/2024,Deactivated,ok,-92,0,"""18–25"""
1359,Marc Anthony,19,M,Others,user85 @yahoo.com,3,Monthly,11/3/2024,1/1/2024,Inactive,satisfied ,-307,0,"""51+"""
1459,Lizza,22,M,Cebu,user86@outlook.com,1,Monthly,2/6/2024,11/2/2024,Inactive,good,270,0,"""51+"""
1438,Lizza,18,F,Cagayan de Oro,user87@gmail.com,5,One-time,2/17/2024,5/16/2024,Active,,89,1,"""51+"""
1455,Lizza,25,F,Cebu,user88@gmail.com,1,Monthly,4/17/2024,2/26/2024,Inactive,satisfied ,-51,0,"""18–25"""
1129,Marc Anthony,35,M,Cebu,user89 @gmail.com,1,Monthly,1/1/2024,5/27/2024,Active,bad   ,147,1,"""18–25"""
1043,John Doe,35,M,Manila,user90@yahoo.com,4,One Time,6/2/2024,3/13/2024,Active,,-81,1,"""18–25"""
1186,John Doe,35,Others,Davao,user91@yahoo.com,2,Monthly,10/2/2024,2/15/2024,Inactive,very good,-230,0,"""18–25"""
1357,Peter,24,F,Others,user92@gmail.com,4,Monthly,3/15/2024,1/1/2024,Active,very good,-74,1,"""51+"""
1183,Jhon Doe,21,Others,Manila,user93@yahoo.com,5,Monthly,4/23/2024,10/3/2024,Inactive,very good,163,0,"""51+"""
1025,John Doe,22,F,Davao,user94 @yahoo.com,1,Weekly,3/17/2024,1/1/2024,Active,,-76,1,"""51+"""
1434,Mark Anthony,19,M,Cagayan de Oro,user95@gmail.com,5,Weekly,2/2/2024,5/14/2024,Unknown,good,102,0,"""51+"""
1468,Maria,19,F,Manila,user96@gmail.com,5,One-time,1/5/2024,5/25/2024,Active,good,141,1,"""51+"""
1312,Maria,25,F,Davao,user97 @outlook.com,5,Weekly,6/18/2024,3/2/2024,Active,satisfied ,-108,1,"""18–25"""
1305,Marc Anthony,20,M,Manila,user98 @yahoo.com,1,One Time,1/1/2024,6/28/2024,Active,,179,1,"""51+"""
1268,Mark Anthony,35,F,Manila,user99@outlook.com,2,One-Time,1/1/2024,1/18/2024,Active,,17,1,"""18–25"""
1018,Marc Anthony,35,Others,Cagayan de Oro,user100 @gmail.com,5,Monthly,1/1/2024,6/4/2024,Active,satisfied ,155,1,"""18–25"""
1465,John Doe,35,M,Cagayan de Oro,user101@gmail.com,2,Monthly,10/6/2024,3/4/2024,Active,,-216,1,"""18–25"""
1001,Lizza,25,Others,Davao,user102@gmail.com,4,Monthly,3/3/2024,4/15/2024,Active,very good,43,1,"""18–25"""
1051,Jhon Doe,19,M,Manila,user103@gmail.com,1,Weekly,2/28/2024,3/2/2024,Active,bad   ,3,1,"""51+"""
1428,Anna Marie,22,M,Cebu,user104 @yahoo.com,4,Monthly,3/3/2024,1/1/2024,Unknown,,-62,0,"""51+"""
1373,Maria,35,M,Manila,user105 @outlook.com,5,One-time,5/16/2024,2/21/2024,Active,good,-85,1,"""18–25"""
1233,Anna Marie,35,F,Davao,user106@outlook.com,5,One Time,4/14/2024,4/24/2024,Unknown,,10,0,"""18–25"""
1304,Lizza,22,M,Cebu,user107@gmail.com,4,One Time,11/2/2024,1/1/2024,Active,,-306,1,"""51+"""
1056,Maria,22,M,Cagayan de Oro,user108@yahoo.com,5,One-Time,6/10/2024,2/11/2024,Active,good,-120,1,"""51+"""
1475,Lizza,22,F,Others,user109@gmail.com,1,Monthly,1/1/2024,1/21/2024,Inactive,very good,20,0,"""51+"""
1433,Ana Marie,25,M,Cebu,user110@gmail.com,1,Monthly,5/22/2024,1/1/2024,Active,,-142,1,"""18–25"""
1342,Maria,25,F,Manila,user111 @outlook.com,5,Weekly,2/9/2024,1/1/2024,Inactive,,-39,0,"""18–25"""
1003,Liza,22,Others,Cagayan de Oro,user112 @outlook.com,5,Weekly,1/1/2024,2/6/2024,Inactive,very good,36,0,"""51+"""
1067,Jhon Doe,35,F,Manila,user113@yahoo.com,5,Monthly,1/2/2024,3/28/2024,Inactive,good,86,0,"""18–25"""
1139,Peter,22,Others,Manila,user114@outlook.com,4,Monthly,5/10/2024,1/7/2024,Active,very good,-124,1,"""51+"""
1149,Mark Anthony,22,F,Cagayan de Oro,user115 @yahoo.com,5,Weekly,4/4/2024,2/15/2024,Unknown,ok,-49,0,"""51+"""
1473,Jhon Doe,19,Others,Manila,user116@gmail.com,1,One-time,10/4/2024,2/27/2024,Deactivated,satisfied ,-220,0,"""51+"""
1103,Liza,23,M,Cebu,user117@gmail.com,5,Monthly,5/1/2024,3/24/2024,Active,good,-38,1,"""51+"""
1489,Marc Anthony,23,Others,Manila,user118@outlook.com,5,One-Time,5/2/2024,4/9/2024,Deactivated,very good,-23,0,"""51+"""
1354,Peter,19,M,Cebu,user119 @yahoo.com,1,Monthly,1/25/2024,4/4/2024,Deactivated,satisfied ,70,0,"""51+"""
1003,Maria,22,M,Others,user120@yahoo.com,1,One-time,6/14/2024,6/11/2024,Active,bad   ,-3,1,"""51+"""
1395,John Doe,35,M,Cagayan de Oro,user121@yahoo.com,4,Weekly,5/23/2024,6/15/2024,Unknown,,23,0,"""18–25"""
1259,Ana Marie,23,F,Cagayan de Oro,user122@gmail.com,1,One-time,3/2/2024,5/1/2024,Inactive,satisfied ,60,0,"""51+"""
1243,Jhon Doe,19,M,Davao,user123@yahoo.com,1,Monthly,1/24/2024,2/14/2024,Unknown,very good,21,0,"""51+"""
1222,Ana Marie,18,F,Davao,user124@gmail.com,2,One-Time,5/5/2024,3/25/2024,Inactive,very good,-41,0,"""51+"""
1262,Lizza,24,Others,Others,user125 @outlook.com,5,One-time,6/19/2024,2/25/2024,Unknown,satisfied ,-115,0,"""51+"""
1265,Lizza,18,F,Manila,user126@outlook.com,1,One-time,9/3/2024,4/6/2024,Unknown,good,-150,0,"""51+"""
1087,Lizza,22,F,Manila,user127 @outlook.com,1,Monthly,6/13/2024,2/10/2024,Active,,-124,1,"""51+"""
1014,Marc Anthony,22,Others,Cagayan de Oro,user128 @outlook.com,2,Weekly,1/1/2024,1/24/2024,Active,good,23,1,"""51+"""
1486,Ana Marie,24,F,Manila,user129 @outlook.com,3,Weekly,1/3/2024,4/1/2024,Deactivated,ok,89,0,"""51+"""
1467,Liza,35,Others,Manila,user130@yahoo.com,4,Monthly,1/6/2024,1/1/2024,Deactivated,very good,-5,0,"""18–25"""
1377,Ana Marie,35,F,Davao,user131@gmail.com,4,One Time,2/3/2024,1/1/2024,Inactive,,-33,0,"""18–25"""
1198,Marc Anthony,22,M,Cagayan de Oro,user132 @yahoo.com,1,Monthly,1/2/2024,4/25/2024,Active,,114,1,"""51+"""
1140,Jhon Doe,23,F,Davao,user133 @yahoo.com,3,Weekly,2/9/2024,1/1/2024,Unknown,,-39,0,"""51+"""
1438,Marc Anthony,21,M,Manila,user134@gmail.com,5,One Time,4/4/2024,4/13/2024,Inactive,very good,9,0,"""51+"""
1027,Peter,22,Others,Cagayan de Oro,user135@outlook.com,4,One-time,2/26/2024,2/17/2024,Deactivated,satisfied ,-9,0,"""51+"""
1294,Jhon Doe,24,M,Others,user136@yahoo.com,5,One-Time,2/2/2024,3/20/2024,Unknown,,47,0,"""51+"""
1401,Ana Marie,35,F,Cebu,user137 @outlook.com,5,One Time,6/10/2024,1/1/2024,Inactive,,-161,0,"""18–25"""
1445,Peter,35,M,Manila,user138@gmail.com,5,Weekly,5/18/2024,4/6/2024,Active,,-42,1,"""18–25"""
1366,Jhon Doe,20,Others,Manila,user139 @outlook.com,1,Weekly,2/5/2024,5/6/2024,Inactive,ok,91,0,"""51+"""
1330,Marc Anthony,23,F,Davao,user140@yahoo.com,1,One-time,1/1/2024,2/2/2024,Deactivated,bad   ,32,0,"""51+"""
1355,Liza,20,F,Manila,user141@outlook.com,3,Weekly,3/11/2024,3/22/2024,Active,,11,1,"""51+"""
1116,Maria,22,F,Cagayan de Oro,user142@yahoo.com,5,Weekly,1/1/2024,1/1/2024,Deactivated,bad   ,0,0,"""51+"""
1099,Jhon Doe,35,M,Cebu,user143@outlook.com,1,Monthly,1/1/2024,3/2/2024,Inactive,,61,0,"""18–25"""
1193,Marc Anthony,21,F,Others,user144@yahoo.com,4,One Time,4/15/2024,6/15/2024,Active,,61,1,"""51+"""
1303,John Doe,20,F,Davao,user145 @outlook.com,1,Weekly,6/7/2024,6/16/2024,Deactivated,ok,9,0,"""51+"""
1493,Lizza,35,Others,Cagayan de Oro,user146 @outlook.com,4,One-time,1/1/2024,1/14/2024,Active,good,13,1,"""18–25"""
1016,John Doe,22,M,Manila,user147 @yahoo.com,5,Monthly,2/12/2024,1/24/2024,Active,ok,-19,1,"""51+"""
1133,Maria,19,F,Cebu,user148 @gmail.com,1,Weekly,3/14/2024,1/1/2024,Deactivated,satisfied ,-73,0,"""51+"""
1360,Ana Marie,18,F,Davao,user149 @yahoo.com,1,One-Time,1/1/2024,3/23/2024,Active,very good,82,1,"""51+"""
1109,John Doe,24,M,Manila,user150@outlook.com,1,Weekly,1/1/2024,4/26/2024,Active,,116,1,"""51+"""
1086,Liza,19,M,Cagayan de Oro,user151@outlook.com,4,Weekly,1/1/2024,3/28/2024,Active,,87,1,"""51+"""
1046,Anna Marie,35,M,Others,user152 @outlook.com,3,Weekly,11/5/2024,1/1/2024,Deactivated,,-309,0,"""18–25"""
1271,Lizza,19,F,Manila,user153@gmail.com,2,Monthly,1/1/2024,5/3/2024,Inactive,,123,0,"""51+"""
1315,Maria,23,M,Manila,user154 @outlook.com,1,One Time,4/15/2024,3/12/2024,Unknown,,-34,0,"""51+"""
1296,Marc Anthony,24,F,Cagayan de Oro,user155@yahoo.com,4,Monthly,7/3/2024,2/1/2024,Deactivated,,-153,0,"""51+"""
1409,Jhon Doe,23,Others,Others,user156@yahoo.com,1,Monthly,6/23/2024,4/7/2024,Unknown,bad   ,-77,0,"""51+"""
1301,John Doe,24,F,Manila,user157@gmail.com,1,Monthly,3/24/2024,1/5/2024,Deactivated,,-79,0,"""51+"""
1433,John Doe,18,F,Cebu,user158@yahoo.com,1,Weekly,4/23/2024,2/5/2024,Active,good,-78,1,"""51+"""
1256,Anna Marie,22,Others,Cebu,user159@outlook.com,1,Weekly,7/4/2024,1/9/2024,Active,ok,-177,1,"""51+"""
1419,Liza,35,F,Manila,user160@outlook.com,2,Weekly,1/1/2024,4/19/2024,Inactive,good,109,0,"""18–25"""
1413,Marc Anthony,22,F,Manila,user161@outlook.com,4,Weekly,4/3/2024,3/17/2024,Active,ok,-17,1,"""51+"""
1385,Peter,18,F,Manila,user162@outlook.com,4,Weekly,1/20/2024,1/18/2024,Active,satisfied ,-2,1,"""51+"""
1467,Jhon Doe,35,F,Davao,user163 @yahoo.com,5,Weekly,1/1/2024,1/10/2024,Deactivated,satisfied ,9,0,"""18–25"""
1324,Marc Anthony,19,Others,Cagayan de Oro,user164@gmail.com,1,Monthly,6/18/2024,6/2/2024,Active,bad   ,-16,1,"""51+"""
1414,Ana Marie,18,F,Davao,user165@gmail.com,5,Monthly,11/5/2024,4/28/2024,Active,,-191,1,"""51+"""
1391,Maria,23,M,Cagayan de Oro,user166 @gmail.com,1,Monthly,1/1/2024,4/1/2024,Active,good,91,1,"""51+"""
1349,Liza,24,Others,Manila,user167@yahoo.com,5,Weekly,9/6/2024,1/1/2024,Active,,-249,1,"""51+"""
1486,Mark Anthony,24,F,Others,user168@gmail.com,4,Monthly,1/1/2024,1/11/2024,Active,satisfied ,10,1,"""51+"""
1060,Maria,19,M,Davao,user169@yahoo.com,1,One Time,1/16/2024,3/16/2024,Active,ok,60,1,"""51+"""
1321,Lizza,19,M,Davao,user170 @outlook.com,4,Weekly,1/1/2024,2/5/2024,Active,satisfied ,35,1,"""51+"""
1372,Jhon Doe,22,M,Manila,user171 @yahoo.com,1,One Time,2/22/2024,1/9/2024,Active,,-44,1,"""51+"""
1254,Liza,22,F,Davao,user172@gmail.com,2,Monthly,1/1/2024,2/28/2024,Deactivated,satisfied ,58,0,"""51+"""
1460,John Doe,18,M,Cebu,user173 @gmail.com,4,Weekly,7/1/2024,4/15/2024,Unknown,very good,-77,0,"""51+"""
1323,Ana Marie,19,F,Cebu,user174 @yahoo.com,1,Monthly,1/1/2024,2/4/2024,Active,very good,34,1,"""51+"""
1300,Jhon Doe,22,Others,Cagayan de Oro,user175@outlook.com,5,Weekly,9/3/2024,11/6/2024,Active,good,64,1,"""51+"""
1307,Ana Marie,18,M,Cebu,user176@outlook.com,1,Weekly,4/21/2024,1/4/2024,Active,very good,-108,1,"""51+"""
1135,John Doe,25,F,Others,user177@outlook.com,4,One Time,1/1/2024,1/1/2024,Deactivated,very good,0,0,"""18–25"""
1486,Peter,35,M,Manila,user178@yahoo.com,5,Monthly,5/17/2024,6/22/2024,Unknown,bad   ,36,0,"""18–25"""
1088,Marc Anthony,23,F,Davao,user179@yahoo.com,4,Weekly,1/6/2024,6/12/2024,Deactivated,,158,0,"""51+"""
1454,Jhon Doe,22,M,Cagayan de Oro,user180 @yahoo.com,4,Monthly,3/25/2024,3/21/2024,Inactive,,-4,0,"""51+"""
1141,Mark Anthony,25,F,Cagayan de Oro,user181@outlook.com,1,Monthly,1/20/2024,1/1/2024,Inactive,satisfied ,-19,0,"""18–25"""
1412,Ana Marie,20,F,Manila,user182 @outlook.com,1,One-Time,3/3/2024,3/19/2024,Unknown,good,16,0,"""51+"""
1364,Anna Marie,21,M,Manila,user183@yahoo.com,5,Monthly,4/13/2024,1/14/2024,Unknown,,-90,0,"""51+"""
1319,Anna Marie,23,F,Cebu,user184@outlook.com,5,Weekly,11/2/2024,4/6/2024,Unknown,ok,-210,0,"""51+"""
1340,John Doe,23,Others,Manila,user185@gmail.com,1,Monthly,1/1/2024,2/13/2024,Unknown,,43,0,"""51+"""
1420,Anna Marie,22,F,Manila,user186 @outlook.com,2,Weekly,5/28/2024,5/13/2024,Active,,-15,1,"""51+"""
1119,Maria,20,Others,Cagayan de Oro,user187@gmail.com,4,Weekly,1/1/2024,1/27/2024,Inactive,,26,0,"""51+"""
1496,Maria,24,F,Cagayan de Oro,user188@yahoo.com,2,One-Time,1/1/2024,4/6/2024,Active,bad   ,96,1,"""51+"""
1480,John Doe,22,F,Cebu,user189 @gmail.com,4,Monthly,5/20/2024,2/7/2024,Active,,-103,1,"""51+"""
1377,Anna Marie,25,F,Cagayan de Oro,user190@yahoo.com,2,Monthly,4/22/2024,6/9/2024,Active,,48,1,"""18–25"""
1424,Lizza,22,Others,Davao,user191 @gmail.com,5,One-time,1/1/2024,1/4/2024,Inactive,good,3,0,"""51+"""
1472,Peter,22,Others,Manila,user192 @gmail.com,4,One Time,2/2/2024,3/15/2024,Inactive,very good,42,0,"""51+"""
1372,John Doe,35,M,Cagayan de Oro,user193@yahoo.com,2,One-Time,2/21/2024,1/17/2024,Active,very good,-35,1,"""18–25"""
1250,Ana Marie,35,M,Cagayan de Oro,user194 @outlook.com,3,Weekly,1/21/2024,6/3/2024,Unknown,ok,134,0,"""18–25"""
1447,Peter,22,M,Cagayan de Oro,user195@gmail.com,5,One-time,3/27/2024,4/2/2024,Unknown,bad   ,6,0,"""51+"""
1058,Maria,24,M,Cagayan de Oro,user196 @yahoo.com,4,One-Time,1/27/2024,1/23/2024,Inactive,,-4,0,"""51+"""
1077,John Doe,25,M,Cebu,user198@outlook.com,3,Monthly,3/4/2024,3/3/2024,Inactive,very good,-1,0,"""18–25"""
1008,Maria,21,M,Cebu,user199 @outlook.com,2,Monthly,1/1/2024,5/17/2024,Active,good,137,1,"""51+"""
1206,Maria,22,M,Others,user200@yahoo.com,5,One-time,5/26/2024,3/21/2024,Unknown,very good,-66,0,"""51+"""
1390,Marc Anthony,35,M,Cagayan de Oro,user201 @gmail.com,5,Monthly,4/16/2024,1/10/2024,Active,,-97,1,"""18–25"""
1065,Maria,19,Others,Davao,user202@gmail.com,2,Weekly,4/5/2024,1/19/2024,Active,very good,-77,1,"""51+"""
